Movie Index,Title,Year,Plot,Director(s),Star(s)
127,Curse of the Headless Horseman,1972,A phantom horseman who appears every night with a human head tucked under his arm lets it be known that he is searching for eight gunfighters.,John Kirkland,"Ultra Violet, Marland Proctor, Claudia Reame, Don Carrara"
128,Dear Dead Delilah,1972,"A sickly matriarch of a dysfunctional family living in an old Southern mansion teases her siblings about finding a long lost treasure hidden in the premises, little did she know that there is someone ready to kill to get their hands on it.",John Farris,"Agnes Moorehead, Will Geer, Michael Ansara, Dennis Patrick"
129,A Thief in the Night,1972,"The story of Patty, a young woman caught up in living for the present with little concern for the future. She meets and marries a young man and her life seems great, until one moment she ...                See full summary »",Donald W. Thompson,"Patty Dunning, Mike Niday, Colleen Niday, Maryann Rachford"
130,Evil Come Evil Go,1972,A religious fanatic murders people who are engaging in sex.,Walt Davis,"Cleo O'Hara, Sandra Henderson, Jane Tsentas, Rick Cassidy"
131,The Brides Wore Blood,1972,"The DeLorca family has been cursed ever since Carlos' grandfather was interrupted while conjuring evil spirits. The curse makes each DeLorca son turn into a vampire, and upon the birth of ...                See full summary »",Bob Favorite,"Dolores Friedline, Chuck Faulkner, Jan Sherman, Dolores Starling"
132,Blood Freak,1972,"A biker comes upon a girl with a flat tire and offers her a ride home. He winds up at a drug party with the girl's sister, then follows her to a turkey farm owned by her father, a mad ...                See full summary »","Steve Hawkes, Brad F. Grinter","Steve Hawkes, Dana Cullivan, Randy Grinter, Heather Hughes"
133,Curse of the Moon Child,1972,A man gets caught up in a cult that demands human sacrifice.,"Steve Hawkes, Brad F. Grinter","Adam West, Sherry Jackson, Jeremy Slate"
134,Blood Orgy of the She-Devils,1973,"Lorraine and Mark enter the world of witchcraft where Mara foretells the future and helps them remember their past lives. When a series of mysterious murders begin to occur, they turn to Dr. Helsford for advice.",Ted V. Mikels,"Lila Zaborin, Victor Izay, Tom Pace, Leslie McRay"
135,House of Terror,1973,"A nurse is hired to take care of a mean, cantankerous woman. It turns out that the nurse and her boyfriend are after the woman's fortune. When the woman turns up dead in a bathtub full of ...                See full summary »",Sergei Goncharoff,"Jennifer Bishop, Arell Blanton, Mitchell Gregg, Irene Byatt"
136,Alabama's Ghost,1973,"Nightclub janitor discovers a secret room, finds old magician's belongings, tries on the costumes and becomes ""Alabama, King of the Cosmos.""",Fredric Hobbs,"Christopher Brooks, Peggy Browne, E. Kerrigan Prescott, Steven Kent Browne"
137,Miss Leslie's Dolls,1973,A young college professor and three of her students seek shelter during a storm in the rural farmhouse of a strange woman who collects lifelike mannequins.,Joseph G. Prieto,"Salvador Ugarte, Terri Juston, Marcelle Bichette, Kitty Lewis"
138,The Crazies,1973,"The military attempts to contain a manmade combat virus that causes death and permanent insanity in those infected, as it overtakes a small Pennsylvania town.",George A. Romero,"Lane Carroll, Will MacMillan, Harold Wayne Jones, Lloyd Hollar"
139,Psyched by the 4D Witch (A Tale of Demonology),1973,Novice witch Cindy is transported into a world of safe sex by the voice of Abigail from the 17th century.,Victor Luminera,"Margo, Esoterica, Tom Yerian, Kelly Guthrie"
140,Please Don't Eat My Mother!,1973,"A middle-aged man buys a plant with a sexy voice that develops a craving for insects, frogs, dogs, and humans.",Carl Monson,"Buck Kartalian, Lynn Lundgren, Art Hedberg, Alice Friedland"
141,The Baby,1973,"A social worker, still reeling from the loss of her architect husband, investigates the eccentric, psychedelic Wadsworth Family, consisting of a mother, two daughters, and an adult son with the apparent mental capacity of an infant.",Ted Post,"Anjanette Comer, Ruth Roman, Marianna Hill, Susanne Zenor"
142,Crypt of the Living Dead,1973,Two archaeologists on a scientific dig come across a vampire burial ground and discover that the creatures are about to awaken and attack a nearby village.,"Ray Danton, Julio Salvador","Andrew Prine, Mark Damon, Patty Shepard, Teresa Gimpera"
143,The Killing Kind,1973,Young Terry Lambert returns home from serving a prison term for a gang-rape he was forced to participate in. He seeks revenge on his lawyer and the girl who framed him. But his real problem...                See full summary »,Curtis Harrington,"Ann Sothern, John Savage, Ruth Roman, Luana Anders"
144,Schlock,1973,"A small town is terrorized by ""The Banana Killer"", which turns out to be the missing link between man and ape.",John Landis,"John Landis, Saul Kahan, Joseph Piantadosi, Richard Gillis"
145,Ganja & Hess,1973,"After being stabbed with an ancient, germ-infested knife, a doctor's assistant finds himself with an insatiable desire for blood.",Bill Gunn,"Duane Jones, Marlene Clark, Bill Gunn, Sam L. Waymon"
146,Beyond Atlantis,1973,A band of adventurers invade a native island determined to grab a reported fortune in buried treasure. The islanders are just as determined to keep their sacred treasure. Complications ensue.,Eddie Romero,"Patrick Wayne, John Ashley, Leigh Christian, Sid Haig"
147,Lemora: A Child's Tale of the Supernatural,1973,A young girl who returns to her hometown to see her dying father finds herself being drawn into a web of vampirism and witchcraft.,Richard Blackburn,"Lesley Taplin, Cheryl Smith, William Whitton, Hy Pyke"
148,Wonder Women,1973,An insurance investigator battles Dr. Tsu and her sexy all-girl army.,Robert Vincent O'Neil,"Nancy Kwan, Ross Hagen, Maria De Aragon, Roberta Collins"
149,The Last House on Dead End Street,1973,"After being released from prison, a young gangster with a chip on his shoulder decides to punish society by making snuff films.",Roger Watkins,"Roger Watkins, Ken Fisher, Bill Schlageter, Kathy Curtin"
150,Bummer,1973,"A touring small-time rock band called The Group picks up a couple of groupies. One night, the band's drunken, hulking bass player goes nuts and rapes the girls. The band refuses to believe that he's trouble which leads to more tragedy.",William Allen Castleman,"Kipp Whitman, Dennis Burkley, Connie Strickland, Carol Speed"
151,Messiah of Evil,1973,A young woman goes searching for her missing artist father. Her journey takes her to a strange Californian seaside town governed by a mysterious undead cult.,"Gloria Katz, Willard Huyck","Michael Greer, Marianna Hill, Joy Bang, Anitra Ford"
152,Son of Dracula,1973,"Due to be crowned King of the Netherworld by his mentor Merlin the Magician (Sir Ringo Starr) at a monster's convention, Count Downe (Harry Nilsson), the son of Count Dracula, falls in love...                See full summary »",,See full summary
153,The Cremators,1973,"An alien life form that is a huge ball of living matter invades earth, and replenishes itself by absorbing people.",Harry Essex,"Maria De Aragon, Marvin Howard, Eric Allison, Eric Sinclair"
154,The Forgotten,1973,"A young psychiatric nurse goes to work at a lonesome asylum following a murder. There, she experiences varying degrees of torment from the patients.",S.F. Brownrigg,"Bill McGhee, Jessie Lee Fulton, Robert Dracup, Harryette Warren"
155,Terror in the Wax Museum,1973,The murder of a Wax Museum proprietor and some other strange goings-on in the vicinity prompt a police investigator to determine whether the killer is one of the principles who wants to own...                See full summary »,Georg Fenady,"Ray Milland, Elsa Lanchester, Maurice Evans, John Carradine"
156,Pigs,1973,"Lynn Hart is a disturbed young woman who escapes from a mental hospital where she was committed for killing her abusive father who raped her. Stealing a nurse's uniform and car, Lynn ends ...                See full summary »",Marc Lawrence,"Toni Lawrence, Jesse Vint, Catherine Ross, Paul Hickey"
157,"Wicked, Wicked",1973,"A tongue-in-cheek psycho movie in ""Duo-vision."" The entire feature employs the split-screen technique used in parts of Brian De Palma's ""Sisters"" that same year. As a handyman at a seacoast...                See full summary »",Richard L. Bare,"David Bailey, Tiffany Bolling, Randolph Roberts, Scott Brady"
158,So Sad About Gloria,1973,"A young woman just released from a mental hospital moves back in with her family. However, she is soon troubled by disturbing visions in which she commits a series of axe murders.",Harry Thomason,"Lori Saunders, Robert Ginnaven, Dean Jagger, Lou Hoffman"
159,Invasion of the Bee Girls,1973,A powerful cosmic force is turning Earth women into queen bees who kill men by wearing them out sexually.,Denis Sanders,"William Smith, Anitra Ford, Victoria Vetri, Cliff Osmond"
160,Scream Blacula Scream,1973,"The vampire Mamuwalde (Blacula) is stirred by African voodoo, and is forced to kill again.",Bob Kelljan,"William Marshall, Don Mitchell, Pam Grier, Michael Conrad"
161,The Wednesday Children,1973,Who is Mr. Fenton and what does he want from a small-town boy in a grown-up world?,Robert D. West,"Carol Cary, Marji Dodril, Tom Kelly, Al Miskell"
162,The Candy Snatchers,1973,"A mute, autistic boy stumbles upon a teenage girl who has been kidnapped and buried alive by three young psychopathic criminals intent on extorting diamonds from her rich stepfather.",Guerdon Trueblood,"Tiffany Bolling, Ben Piazza, Susan Sennett, Brad David"
163,The Boy Who Cried Werewolf,1973,"A young boy visits his father in a secluded cabin; the father is attacked by a werewolf and becomes one himself every full moon. However, the boy constantly tries to warn others, but no one will believe him.",Nathan Juran,"Kerwin Mathews, Elaine Devry, Scott Sealey, Robert J. Wilke"
164,Sssssss,1973,A college student becomes lab assistant to a scientist who is working on a serum that can transform humans into snakes.,Bernard L. Kowalski,"Strother Martin, Dirk Benedict, Heather Menzies-Urich, Richard B. Shull"
165,A Name for Evil,1973,"Dissatisfied with the family architectural business, a man and his wife pack up and move out to his great-grandfather's old house in the country. While trying to patch it up, the house ...                See full summary »",Bernard Girard,"Robert Culp, Samantha Eggar, Sheila Sullivan, Mike Lane"
166,Blackenstein,1973,"Eddie is a Vietnam veteran who loses his arms and legs when he steps on a land mine. A brilliant surgeon is able to attach new limbs but his jealous assistant switches the DNA injections, transforming him into a gigantic killer.",William A. Levey,"John Hart, Ivory Stone, Joe De Sue, Roosevelt Jackson"
167,Horror High,1973,"A nerdy high school super whiz experiments with a chemical which will transform his guinea pig ""Mr. Mumps"" from a gentle pet into a ravenous monster. In a fit of rage against his tormentors...                See full summary »",Larry N. Stouffer,"Pat Cardi, Austin Stoker, Rosie Holotik, John Niland"
168,Warlock Moon,1973,"A college girl meets a reporter, they take a trip to the country, and they wind up meeting a creepy old woman who lives in a closed-down resort.",William Herbert,"Laurie Walters, Joe Spano, Edna MacAfee, Harry Bauer"
169,An Eye for an Eye,1973,A children's television show host stalks and murders abusive parents.,Larry G. Brown,"Tom Basham, Gene Carlson, Gretchen Kanne, David Carlile"
170,Blood,1973,A werewolf married to Dracula's daughter try to survive in late 19th century Staten Island.,Andy Milligan,"Allan Berendt, Hope Stansbury, Patricia Gaul, Michael Fischetti"
171,Thirty Dangerous Seconds,1973,Add a Plot,Joseph Taft,"Robert Lansing, Kathryn Reynolds, Michael Dante, Marj Dusay"
172,Doctor Death: Seeker of Souls,1973,An evil immortal magician on a killing spree targets one specific couple in an attempt to prolong his life through soul transference.,Eddie Saeta,"John Considine, Barry Coe, Cheryl Miller, Stewart Moss"
173,Voodoo Heartbeat,1973,An experimental serum turns a man into a fanged killer beast.,Charles Nizet,"Ray Molina, Philip Ahn, Ern Dugo, Forrest Duke"
174,The Werewolf of Washington,1973,"A reporter who has had an affair with the daughter of the U.S. President is sent to Hungary. There he is bitten by a werewolf, and then gets transferred back to Washington, where he gets a ...                See full summary »",Milton Moses Ginsberg,"Dean Stockwell, Katalin Kallay, Henry Ferrentino, Despo Diamantidou"
